Día;Mes;Horario;Hora;Edad;Sexo
Viernes;1;Tarde;20;25;Mujer
Viernes;1;Tarde;20;39;Hombre
Viernes;1;Tarde;19;71;Hombre
Viernes;1;Tarde;20;45;Mujer
Viernes;1;Tarde;21;32;Hombre
Viernes;1;Tarde;21;30;Hombre
Viernes;1;Tarde;21;35;Mujer
Viernes;1;Noche;22;24;Mujer
Sábado;1;Mañana;6;34;Mujer
Sábado;1;Mañana;12;33;Mujer
Sábado;1;Mañana;12;35;Mujer
Sábado;1;Mañana;13;40;Mujer
Sábado;1;Mañana;13;42;Mujer
Sábado;1;Mañana;13;9;Mujer
Sábado;1;Mañana;13;11;Hombre
Sábado;1;Mañana;13;36;Mujer
Sábado;1;Tarde;16;28;Hombre
Sábado;1;Tarde;18;25;Hombre
Sábado;1;Tarde;14;78;Hombre
Sábado;1;Tarde;14;62;Mujer
Sábado;1;Tarde;19;45;Hombre
Sábado;1;Tarde;21;51;Hombre
Sábado;1;Noche;23;47;Hombre
Domingo;1;Noche;3;29;Mujer
Domingo;1;Noche;4;39;Mujer
Domingo;1;Noche;4;58;Hombre
Domingo;1;Mañana;10;25;Mujer
Domingo;1;Mañana;10;29;Hombre
Domingo;1;Mañana;13;21;Hombre
